Time	MsgType	Sender	Target	ClOrdID	Side	Exchange	Symbol	Account	OrderQty	Price	OrdStatus	ExecID	AvgPx	CumQty	LeavesQty	LastPx	LastQty
15:13:02	8	KSFMQ	CYHFMQ	yh100	1	sfe	al1110	4009	1	278.1000	2	1-yh100	278.1000	1	0	278.1000	1
15:13:02	8	KSFMQ	CYHFMQ	yh101	1	sfe	al1110	4009	1	278.1000	2	1-yh101	278.1000	1	0	278.1000	1
15:13:02	8	KSFMQ	CYHFMQ	yh102	1	sfe	al1110	4009	1	278.1000	2	1-yh102	278.1000	1	0	278.1000	1
15:13:02	8	KSFMQ	CYHFMQ	yh103	1	sfe	al1110	4009	1	278.1000	2	1-yh103	278.1000	1	0	278.1000	1
15:13:02	8	KSFMQ	CYHFMQ	yh104	1	sfe	al1110	4009	1	278.1000	2	1-yh104	278.1000	1	0	278.1000	1
15:13:02	8	KSFMQ	CYHFMQ	yh105	1	sfe	al1110	4009	1	278.1000	2	1-yh105	278.1000	1	0	278.1000	1
15:13:02	8	KSFMQ	CYHFMQ	yh106	1	sfe	al1110	4009	1	278.1000	2	1-yh106	278.1000	1	0	278.1000	1
15:13:02	8	KSFMQ	CYHFMQ	yh107	1	sfe	al1110	4009	1	278.1000	2	1-yh107	278.1000	1	0	278.1000	1
15:13:02	8	KSFMQ	CYHFMQ	yh108	1	sfe	al1110	4009	1	278.1000	2	1-yh108	278.1000	1	0	278.1000	1
15:13:02	8	KSFMQ	CYHFMQ	yh109	1	sfe	al1110	4009	1	278.1000	2	1-yh109	278.1000	1	0	278.1000	1
15:13:03	8	KSFMQ	CYHFMQ	yh110	1	sfe	al1110	4009	1	278.1000	2	1-yh110	278.1000	1	0	278.1000	1
15:13:03	8	KSFMQ	CYHFMQ	yh111	1	sfe	al1110	4009	1	278.1000	2	1-yh111	278.1000	1	0	278.1000	1
15:13:03	8	KSFMQ	CYHFMQ	yh112	1	sfe	al1110	4009	1	278.1000	2	1-yh112	278.1000	1	0	278.1000	1
15:13:03	8	KSFMQ	CYHFMQ	yh113	1	sfe	al1110	4009	1	278.1000	2	1-yh113	278.1000	1	0	278.1000	1
15:13:03	8	KSFMQ	CYHFMQ	yh114	1	sfe	al1110	4009	1	278.1000	2	1-yh114	278.1000	1	0	278.1000	1
15:13:03	8	KSFMQ	CYHFMQ	yh115	1	sfe	al1110	4009	1	278.1000	2	1-yh115	278.1000	1	0	278.1000	1
15:13:03	8	KSFMQ	CYHFMQ	yh116	1	sfe	al1110	4009	1	278.1000	2	1-yh116	278.1000	1	0	278.1000	1
15:13:03	8	KSFMQ	CYHFMQ	yh117	1	sfe	al1110	4009	1	278.1000	2	1-yh117	278.1000	1	0	278.1000	1
15:13:03	8	KSFMQ	CYHFMQ	yh118	1	sfe	al1110	4009	1	278.1000	2	1-yh118	278.1000	1	0	278.1000	1
